Ref,Val,Package,PosX,PosY,Rot,Side
"C1","JZ400","C_Trimmer_Voltronics_JZ",51.030000,-43.930000,180.000000,top
"C2","510pF","C_0603_1608Metric",54.770000,-44.300000,-90.000000,top
"C3","470pF","C_0603_1608Metric",56.570000,-44.300000,-90.000000,top
"C4","JZ400","C_Trimmer_Voltronics_JZ",51.030000,-59.275000,180.000000,top
"C5","510pF","C_0603_1608Metric",54.770000,-58.905000,90.000000,top
"C6","470pF","C_0603_1608Metric",56.570000,-58.905000,90.000000,top
"C7","6.8pF","C_0603_1608Metric",83.400000,-47.080000,0.000000,top
"C8","6.8pF","C_0603_1608Metric",82.100000,-56.180000,0.000000,top
"C9","0.25 pF","C_0603_1608Metric",88.375000,-45.530000,0.000000,top
"C10","0.25 pF","C_0603_1608Metric",87.000000,-58.330000,0.000000,top
"C11","0.8 pF","C_0603_1608Metric",102.900000,-51.355000,90.000000,top
"C12","0.1 µF","C_0603_1608Metric",99.015000,-54.582500,0.000000,top
"C13","0.1 µF","C_0603_1608Metric",98.065000,-48.657500,180.000000,top
"C14","1 µF","C_0603_1608Metric",102.737500,-58.980000,-90.000000,top
"C15","1 µF","C_0603_1608Metric",96.562500,-59.030000,-90.000000,top
"C16","0.1 µF","C_0603_1608Metric",89.800000,-53.300000,-90.000000,top
"C17","0.1 µF","C_0603_1608Metric",83.450000,-49.130000,0.000000,top
"C18","1 µF","C_0603_1608Metric",103.395000,-43.980000,-90.000000,top
"C19","1 µF","C_0603_1608Metric",97.270000,-44.030000,-90.000000,top
"D1","BAS316,115","D_SOD-323",68.700000,-46.080000,-90.000000,top
"D2","BAS316,115","D_SOD-323",79.650000,-46.080000,90.000000,top
"D3","BAS316,115","D_SOD-323",68.700000,-57.080000,90.000000,top
"D4","BAS316,115","D_SOD-323",78.400000,-57.080000,-90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",50.200000,-63.930000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",98.200000,-63.930000,90.000000,top
"L1","22 nH","L_0603_1608Metric",90.870000,-46.410000,-90.000000,top
"L2","22 nH","L_0603_1608Metric",91.100000,-57.500000,90.000000,top
"R1","15 kOhms","R_0603_1608Metric",68.700000,-51.680000,90.000000,top
"R2","1 MOhms","Potentiometer_Bourns_3006W_Horizontal",71.025000,-60.005000,-90.000000,top
"R3","15 kOhms","R_0603_1608Metric",68.700000,-61.930000,-90.000000,top
"R4","150 Ohms","R_0603_1608Metric",51.150000,-47.650000,90.000000,top
"R5","150 Ohms","R_0603_1608Metric",51.150000,-55.680000,-90.000000,top
"R6","9.1 kOhms","R_0603_1608Metric",52.950000,-47.650000,90.000000,top
"R7","845 Ohms","R_0603_1608Metric",54.770000,-47.650000,-90.000000,top
"R8","24.9 Ohms","R_0603_1608Metric",56.570000,-47.650000,90.000000,top
"R9","100 Ohms","Potentiometer_Bourns_3006W_Horizontal",61.175000,-60.005000,-90.000000,top
"R10","24.9 Ohms","R_0603_1608Metric",56.570000,-55.680000,-90.000000,top
"R11","845 Ohms","R_0603_1608Metric",54.770000,-55.680000,90.000000,top
"R12","9.1 kOhms","R_0603_1608Metric",52.950000,-55.680000,-90.000000,top
"R13","150 Ohms","R_0603_1608Metric",83.400000,-45.080000,0.000000,top
"R14","150 Ohms","R_0603_1608Metric",82.100000,-57.980000,0.000000,top
"R15","110","R_0603_1608Metric",83.250000,-52.055000,-90.000000,top
"R16","2.05k","R_0603_1608Metric",81.600000,-52.055000,-90.000000,top
"R17","470 Ohms","R_0603_1608Metric",88.387500,-47.230000,0.000000,top
"R18","470 Ohms","R_0603_1608Metric",87.000000,-56.630000,0.000000,top
"R19","348 Ohms","R_0603_1608Metric",93.450000,-48.600000,0.000000,top
"R20","348 Ohms","R_0603_1608Metric",93.500000,-50.450000,180.000000,top
"R21","348 Ohms","R_0603_1608Metric",93.600000,-55.000000,0.000000,top
"R22","348 Ohms","R_0603_1608Metric",101.150000,-51.355000,90.000000,top
"R23","1 kOhms","R_0603_1608Metric",105.025000,-55.767500,0.000000,top
"R24","348 Ohms","R_0603_1608Metric",93.600000,-56.950000,0.000000,top
"U1","LTC6269xMS8E","MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm",87.075000,-51.630000,-90.000000,top
"U2","XC6206P251","SOT-23-3",99.700000,-59.030000,0.000000,top
"U3","LMH6611","SOT-23-6",97.240000,-51.720000,-90.000000,top
"U4","XC6902N251","SOT-23-3",100.370000,-44.030000,0.000000,top
