"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"C19,C15,C14,C18";"C_0603_1608Metric";4;"1 µF";;;
2;"TP3,TP1,TP2,TP4,TP5";"TestPoint_Pad_D1.5mm";5;"Test Point";;;
3;"R21,R22,R19,R24,R20";"R_0603_1608Metric";5;"348 Ohms";;;
4;"D2,D4,D3,D1";"D_SOD-323";4;"BAS316,115";;;
5;"C6,C3";"C_0603_1608Metric";2;"470pF";;;
6;"J2,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
7;"C5,C2";"C_0603_1608Metric";2;"510pF";;;
8;"R8,R10";"R_0603_1608Metric";2;"24.9 Ohms";;;
9;"L1,L2";"L_0603_1608Metric";2;"22 nH";;;
10;"R5,R4,R14,R13";"R_0603_1608Metric";4;"150 Ohms";;;
11;"U1";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm";1;"LTC6269xMS8E";;;
12;"R16";"R_0603_1608Metric";1;"2.05k";;;
13;"R18,R17";"R_0603_1608Metric";2;"470 Ohms";;;
14;"C10,C11,C9";"C_0603_1608Metric";3;"10 pF";;;
15;"C4,C1";"C_Trimmer_Voltronics_JZ";2;"JZ400";;;
16;"R7,R11";"R_0603_1608Metric";2;"845 Ohms";;;
17;"U3";"SOT-23-6";1;"LMH6611";;;
18;"R15";"R_0603_1608Metric";1;"110";;;
19;"R6,R12";"R_0603_1608Metric";2;"9.1 kOhms";;;
20;"R1,R3";"R_0603_1608Metric";2;"15 kOhms";;;
21;"U2";"SOT-23-3";1;"XC6206P251";;;
22;"U4";"SOT-23-3";1;"XC6902N251";;;
23;"C13,C17,C12,C16";"C_0603_1608Metric";4;"0.1 µF";;;
24;"C8,C7";"C_0603_1608Metric";2;"10pF";;;
25;"R23";"R_0603_1608Metric";1;"1 kOhms";;;
26;"R9";"Potentiometer_Bourns_3006W_Horizontal";1;"100 Ohms";;;
27;"R2";"Potentiometer_Bourns_3006W_Horizontal";1;"1 MOhms";;;
