"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"U3";"SOT-23-6";1;"LMH6611";;;
2;"R25";"R_0603_1608Metric";1;"750 kOhms";;;
3;"C19,C15,C14,C18";"C_0603_1608Metric";4;"1 µF";;;
4;"TP3,TP1,TP2,TP4,TP5";"TestPoint_Pad_D1.5mm";5;"Test Point";;;
5;"R21,R22,R19,R24,R20";"R_0603_1608Metric";5;"348 Ohms";;;
6;"D2,D4,D3,D1";"D_SOD-323";4;"BAS316,115";;;
7;"C6,C3";"C_0603_1608Metric";2;"470pF";;;
8;"J2,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
9;"C5,C2";"C_0603_1608Metric";2;"510pF";;;
10;"R8,R10";"R_0603_1608Metric";2;"24.9 Ohms";;;
11;"L1,L2";"L_0603_1608Metric";2;"22 nH";;;
12;"U4";"SOT-23-3";1;"XC6902N251";;;
13;"R5,R4,R14,R13";"R_0603_1608Metric";4;"150 Ohms";;;
14;"U1";"MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm";1;"LTC6269xMS8E";;;
15;"R16";"R_0603_1608Metric";1;"2.05k";;;
16;"R18,R17";"R_0603_1608Metric";2;"470 Ohms";;;
17;"C10,C11,C9";"C_0603_1608Metric";3;"10 pF";;;
18;"C4,C1";"C_Trimmer_Voltronics_JZ";2;"JZ400";;;
19;"R7,R11";"R_0603_1608Metric";2;"845 Ohms";;;
20;"R15";"R_0603_1608Metric";1;"110";;;
21;"R6,R12";"R_0603_1608Metric";2;"9.1 kOhms";;;
22;"R1,R3";"R_0603_1608Metric";2;"1 MOhms";;;
23;"U2";"SOT-23-3";1;"XC6206P251";;;
24;"C13,C17,C12,C16";"C_0603_1608Metric";4;"0.1 µF";;;
25;"C8,C7";"C_0603_1608Metric";2;"10pF";;;
26;"R23";"R_0603_1608Metric";1;"1 kOhms";;;
27;"R9";"Potentiometer_Bourns_3006W_Horizontal";1;"100 Ohms";;;
28;"R2";"Potentiometer_Bourns_3006W_Horizontal";1;"1 MOhms";;;
